Name,Type,Population,Class,CountySeat
Adair,county,25314,county third class without township,Kirksville
Adrian,city,1730,city fourth class,Bates
Advance,city,1349,city fourth class,Stoddard
Affton,city,20417,census designated place,St. Louis
Agency,city,671,village,Buchanan
Airport Drive,city,766,village,Jasper
Alba,city,544,city fourth class,Jasper
Albany,city,1679,city fourth class,Gentry
Aldrich,city,76,village,Polk
Alexandria,city,105,city fourth class,Clark
Allendale,city,48,city third class,Worth
Allenville,city,95,village,Cape Girardeau
Alma,city,400,city fourth class,Lafayette
Altamont,city,171,village,Daviess
Altenburg,city,341,city fourth class,Perry
Alton,city,707,city fourth class,Oregon
Amazonia,city,238,city fourth class,Andrew
Amity,city,26,village,DeKalb
Amoret,city,133,city fourth class,Bates
Amsterdam,city,218,city fourth class,Bates
Anderson,city,1981,city fourth class,McDonald
Andrew,county,18135,county third class without township,Savannah
Annada,city,14,village,Pike
Annapolis,city,250,city fourth class,Iron
Anniston,city,180,city fourth class,Mississippi
Appleton City,city,1032,city fourth class,St. Clair
Arbela,city,24,village,Scotland
Arbyrd,city,404,city fourth class,Dunklin
Arcadia,city,618,city fourth class,Iron
Archie,city,1268,city fourth class,Cass
Arcola,city,37,village,Dade
Argyle,city,144,village,"Maries, Osage"
Arkoe,city,56,village,Nodaway
Armstrong,city,243,city fourth class,Howard
Arnold,city,20858,city third class,Jefferson
Arrow Point,city,75,village,Barry
Arrow Rock,city,60,village,Saline
Asbury,city,193,city fourth class,Jasper
Ash Grove,city,1512,city fourth class,Greene
Ashburn,city,33,NA,Pike
Ashland,city,4747,city fourth class,Boone
Ashley,city,94,census designated place,Pike
Atchison,county,5305,county third class without township,Rock Port
Atlanta,city,379,city fourth class,Macon
Audrain,county,24962,county third class without township,Mexico
Augusta,city,270,city special charter,St. Charles
Aullville,city,77,village,Lafayette
Aurora,city,7219,city third class,Lawrence
Aurora Springs,city,138,census designated place,Miller
Auxvasse,city,1001,city fourth class,Callaway
Ava,city,2894,city fourth class,Douglas
Avalon,city,83,census designated place,Livingston
Avilla,city,103,village,Jasper
Avondale,city,436,city fourth class,Clay
Bagnell,city,43,city fourth class,Miller
Baker,city,3,NA,Stoddard
Bakersfield,city,186,village,Ozark
Baldwin Park,city,85,village,Cass
Ballwin,city,31103,city fourth class,St. Louis
Baring,city,125,city fourth class,Knox
Barnard,city,201,city fourth class,Nodaway
Barnett,city,158,city fourth class,Morgan
Barnhart,city,5832,census designated place,Jefferson
Barry,county,34534,county third class without township,Cassville
Barton,county,11637,county third class with township,Lamar
Bates,county,16042,county third class with township,Butler
Bates City,city,219,city fourth class,Lafayette
Battlefield,city,5990,city fourth class,Greene
Bell City,city,464,city fourth class,Stoddard
Bella Villa,city,757,city fourth class,St. Louis
