Name,Population,Class,County,Seat
Adrian,1730,4th,Bates,
Advance,1349,4th,Stoddard,
Affton,20417,CDP,St. Louis,
Agency,671,Village,Buchanan,
Airport Drive,766,Village,Jasper,
Alba,544,4th,Jasper,
Albany,1679,4th,Gentry,
Aldrich,76,Village,Polk,
Alexandria,105,4th,Clark,
Allendale,48,3rd,Worth,
Allenville,95,Village,Cape Girardeau,
Alma,400,4th,Lafayette,
Altamont,171,Village,Daviess,
Altenburg,341,4th,Perry,
Alton,707,4th,Oregon,
Amazonia,238,4th,Andrew,
Amity,26,Village,DeKalb,
Amoret,133,4th,Bates,
Amsterdam,218,4th,Bates,
Anderson,1981,4th,McDonald,
Annada,14,Village,Pike,
Annapolis,250,4th,Iron,
Anniston,180,4th,Mississippi,
Appleton City,1032,4th,St. Clair,
Arbela,24,Village,Scotland,
Arbyrd,404,4th,Dunklin,
Arcadia,618,4th,Iron,
Archie,1268,4th,Cass,
Arcola,37,Village,Dade,
Argyle,144,Village,"Maries, Osage",
Arkoe,56,Village,Nodaway,
Armstrong,243,4th,Howard,
Arnold,20858,3rd,Jefferson,
Arrow Point,75,Village,Barry,
Arrow Rock,60,Village,Saline,
Asbury,193,4th,Jasper,
Ash Grove,1512,4th,Greene,
Ashburn,33,NA,Pike,
Ashland,4747,4th,Boone,
Ashley,94,CDP,Pike,
Atlanta,379,4th,Macon,
Augusta,270,Special Charter,St. Charles,
Aullville,77,Village,Lafayette,
Aurora,7219,3rd,Lawrence,
Aurora Springs,138,CDP,Miller,
Auxvasse,1001,4th,Callaway,
Ava,2894,4th,Douglas,
Avalon,83,CDP,Livingston,
Avilla,103,Village,Jasper,
Avondale,436,4th,Clay,
Bagnell,43,4th,Miller,
Baker,3,NA,Stoddard,
Bakersfield,186,Village,Ozark,
Baldwin Park,85,Village,Cass,
Ballwin,31103,4th,St. Louis,
Baring,125,4th,Knox,
Barnard,201,4th,Nodaway,
Barnett,158,4th,Morgan,
Barnhart,5832,CDP,Jefferson,
Bates City,219,4th,Lafayette,
Battlefield,5990,4th,Greene,
Bell City,464,4th,Stoddard,
Bella Villa,757,4th,St. Louis,
Belle,1381,4th,"Maries, Osage",
Bellefontaine Neighbors,10740,4th,St. Louis,
Bellflower,325,4th,Montgomery,
Bel-Nor,1399,Village,St. Louis,
Bel-Ridge,2132,4th,St. Louis,
Belton,23953,Home Rule,Cass,
Bennett Springs,138,CDP,"Dallas, Laclede",
Bent Tree Harbor,283,CDP,Benton,
Benton,866,4th,Scott,
Benton City,101,Village,Audrain,
Berger,256,4th,Franklin,
Berkeley,8228,Home Rule,St. Louis,
Bernie,1859,4th,Stoddard,
Bertrand,718,4th,Mississippi,
Bethany,2915,4th,Harrison,
Bethel,135,Village,Shelby,
Beverly Hills,475,4th,St. Louis,
Bevier,636,4th,Macon,
Biehle,47,CDP,Perry,
Big Lake,65,Village,Holt,
Big Spring,149,CDP,Montgomery,
Bigelow,5,Village,Holt,
Billings,1084,4th,Christian,
Birch Tree,541,4th,Shannon,
Birmingham,189,Village,Clay,
Bismarck,1239,4th,St. Francois,
Black Jack,6634,3rd,St. Louis,
Blackburn,224,4th,"Lafayette, Saline",
Blackwater,170,4th,Cooper,
Blairstown,95,4th,Henry,
Blanchard,27,CDP,Atchison,
Bland,506,4th,Gasconade,
Blodgett,209,4th,Scott,
Bloomfield,1755,4th,Stoddard,
Bloomsdale,639,4th,Ste. Genevieve,
Blue Eye,289,Village,Stone,
Blue Springs,58603,Home Rule,Jackson,
Blue Summit,0,CDP,Jackson,
Blythedale,211,Village,Harrison,
Bogard,167,4th,Carroll,
Bolckow,163,4th,Andrew,
Bolivar,10679,4th,Polk,
Bonne Terre,6903,3rd,St. Francois,
Boonville,7964,3rd,Cooper,
Bosworth,213,4th,Carroll,
Bourbon,1567,4th,Crawford,
Bowling Green,4195,4th,Pike,
Bragg City,72,4th,Pemiscot,
Brandsville,127,4th,Howell,
Branson,12638,4th,"Taney, Stone",
Branson West,484,4th,Stone,
Brashear,235,4th,Adair,
Braymer,737,4th,Caldwell,
Breckenridge,258,4th,Caldwell,
Breckenridge Hills,4458,3rd,St. Louis,
Brentwood,8233,4th,St. Louis,
Brewer,361,CDP,Perry,
Briarwood Estates,347,CDP,Jefferson,
Bridgeton,11445,Home Rule,St. Louis,
Brimson,50,Village,Grundy,
Bronaugh,163,4th,Vernon,
Brookfield,4111,3rd,Linn,
Brooklyn Heights,101,Village,Jasper,
Broseley,163,CDP,Butler,
