Name,Empty1,Population,Empty2,Year,Type,Empty3
Adair,,"25,314",,2022,"county, county_third_class_wo_township_form",
Adrian,,"1,730",,2022,"city, city_fourth_class",
Advance,,"1,349",,2022,"city, city_fourth_class",
Affton,,"20,417",,2022,"city, census_designated_place",
Agency,,671,,2022,"city, village",
Airport Drive,,766,,2022,"city, village",
Alba,,544,,2022,"city, city_fourth_class",
Albany,,"1,679",,2022,"city, county_seat, city_fourth_class",
Aldrich,,76,,2022,"city, village",
Alexandria,,105,,2022,"city, city_fourth_class",
Allendale,,48,,2022,"city, city_third_class",
Allenville,,95,,2022,"city, village",
Alma,,400,,2022,"city, city_fourth_class",
Altamont,,171,,2022,"city, village",
Altenburg,,341,,2022,"city, city_fourth_class",
Alton,,707,,2022,"city, county_seat, city_fourth_class",
Amazonia,,238,,2022,"city, city_fourth_class",
Amity,,26,,2022,"city, village",
Amoret,,133,,2022,"city, city_fourth_class",
Amsterdam,,218,,2022,"city, city_fourth_class",
Anderson,,"1,981",,2022,"city, city_fourth_class",
Andrew,,"18,135",,2022,"county, county_third_class_wo_township_form",
Annada,,14,,2022,"city, village",
Annapolis,,250,,2022,"city, city_fourth_class",
Anniston,,180,,2022,"city, city_fourth_class",
Appleton City,,"1,032",,2022,"city, city_fourth_class",
Arbela,,24,,2022,"city, village",
Arbyrd,,404,,2022,"city, city_fourth_class",
Arcadia,,618,,2022,"city, city_fourth_class",
Archie,,"1,268",,2022,"city, city_fourth_class",
Arcola,,37,,2022,"city, village",
Argyle,,144,,2022,"city, village",
Arkoe,,56,,2022,"city, village",
Armstrong,,243,,2022,"city, city_fourth_class",
Arnold,,"20,858",,2022,"city, city_third_class",
Arrow Point,,75,,2022,"city, village",
Arrow Rock,,60,,2022,"city, village",
Asbury,,193,,2022,"city, city_fourth_class",
Ash Grove,,"1,512",,2022,"city, city_fourth_class",
Ashburn,,33,,2022,"city, village",
Ashland,,"4,747",,2022,"city, city_fourth_class",
Ashley,,94,,2022,"city, census_designated_place",
Atchison,,"5,305",,2022,"county, county_third_class_wo_township_form",
Atlanta,,379,,2022,"city, city_fourth_class",
Audrain,,"24,962",,2022,"county, county_third_class_wo_township_form",
Augusta,,270,,2022,"city, special_charter_city",
Aullville,,77,,2022,"city, village",
Aurora,,"7,219",,2022,"city, city_third_class",
Aurora Springs,,138,,2022,"city, census_designated_place",
Auxvasse,,"1,001",,2022,"city, city_fourth_class",
Ava,,"2,894",,2022,"city, county_seat, city_fourth_class",
Avalon,,83,,2022,"city, census_designated_place",
Avilla,,103,,2022,"city, village",
Avondale,,436,,2022,"city, city_fourth_class",
Bagnell,,43,,2022,"city, city_fourth_class",
Baker,,3,,2022,"city, village",
Bakersfield,,186,,2022,"city, village",
Baldwin Park,,85,,2022,"city, village",
Ballwin,,"31,103",,2022,"city, city_fourth_class",
Baring,,125,,2022,"city, city_fourth_class",
Barnard,,201,,2022,"city, city_fourth_class",
Barnett,,158,,2022,"city, city_fourth_class",
Barnhart,,"5,832",,2022,"city, census_designated_place",
Barry,,"34,534",,2022,"county, county_third_class_wo_township_form",
Barton,,"11,637",,2022,"county, county_third_class_w_township_form",
Bates,,"16,042",,2022,"county, county_third_class_w_township_form",
Bates City,,219,,2022,"city, city_fourth_class",
Battlefield,,"5,990",,2022,"city, city_fourth_class",
Bell City,,464,,2022,"city, city_fourth_class",
Bella Villa,,757,,2022,"city, city_fourth_class",
Belle,,"1,381",,2022,"city, city_fourth_class",
Bellefontaine Neighbors,,"10,740",,2022,"city, city_fourth_class",
Bellerive,,188,,2011,city,
Bellerive Acres,,191,,2022,"city, city_fourth_class",
Bellflower,,325,,2022,"city, city_fourth_class",
Bel-Nor,,"1,399",,2022,"city, village",
Bel-Ridge,,"2,132",,2022,"city, village",
Belton,,"23,953",,2022,"city, home_rule_city",
Bennett Springs,,138,,2022,"city, census_designated_place",
Bent Tree Harbor,,283,,2022,"city, census_designated_place",
Benton,,866,,2022,"city, county_seat, city_fourth_class",
Benton,,"19,394",,2022,"county, county_third_class_wo_township_form",
Benton City,,101,,2022,"city, village",
Berger,,256,,2022,"city, city_fourth_class",
Berkeley,,"8,228",,2022,"city, home_rule_city",
Bernie,,"1,859",,2022,"city, city_fourth_class",
Bertrand,,718,,2022,"city, city_fourth_class",
Bethany,,"2,915",,2022,"city, county_seat, city_fourth_class",
Bethel,,135,,2022,"city, village",
Beverly Hills,,475,,2022,"city, city_fourth_class",
Bevier,,636,,2022,"city, city_fourth_class",
Biehle,,47,,2022,"city, census_designated_place",
Big Lake,,65,,2022,"city, village",
Big Spring,,149,,2022,"city, census_designated_place",
Bigelow,,5,,2022,"city, village",
Billings,,"1,084",,2022,"city, city_fourth_class",
Birch Tree,,541,,2022,"city, city_fourth_class",
Birmingham,,189,,2022,"city, village",
Bismarck,,"1,239",,2022,"city, city_fourth_class",
Black Jack,,"6,634",,2022,"city, city_third_class",
Blackburn,,224,,2022,"city, city_fourth_class",
Blackwater,,170,,2022,"city, city_fourth_class",
Blairstown,,95,,2022,"city, city_fourth_class",
Blanchard,,27,,2022,"city, census_designated_place",
Bland,,506,,2022,"city, city_fourth_class",
Blodgett,,209,,2022,"city, village",
Bloomfield,,"1,755",,2022,"city, county_seat, city_fourth_class",
Bloomsdale,,639,,2022,"city, city_fourth_class",
Blue Eye,,289,,2022,"city, village",
Blue Springs,,"58,603",,2022,"city, home_rule_city",
Blue Summit,,658,,2022,"city, census_designated_place",
Blythedale,,211,,2022,"city, village",
Bogard,,167,,2022,"city, city_fourth_class",
Bolckow,,163,,2022,"city, city_fourth_class",
Bolivar,,"10,679",,2022,"city, county_seat, city_fourth_class",
Bollinger,,"10,567",,2022,"county, county_third_class_wo_township_form",
Bonne Terre,,"6,903",,2022,"city, city_third_class",
Boone,,"183,610",,2022,"county, county_first_class",
Boonville,,"7,964",,2022,"city, county_seat, city_third_class",
Bosworth,,213,,2022,"city, city_fourth_class",
Bourbon,,"1,567",,2022,"city, city_fourth_class",
Bowling Green,,"4,195",,2022,"city, county_seat, city_fourth_class",
Bragg City,,72,,2022,"city, city_fourth_class",
Brandsville,,127,,2022,"city, city_fourth_class",
Branson,,"12,638",,2022,"city, city_fourth_class",
Branson West,,484,,2022,"city, city_fourth_class",
Brashear,,235,,2022,"city, city_fourth_class",
Braymer,,737,,2022,"city, city_fourth_class",
Breckenridge,,258,,2022,"city, city_fourth_class",
Breckenridge Hills,,"4,458",,2022,"city, city_third_class",
Brentwood,,"8,233",,2022,"city, city_fourth_class",
Brewer,,361,,2022,"city, census_designated_place",
Briarwood Estates,,347,,2022,"city, census_designated_place",
Bridgeton,,"11,445",,2022,"city, home_rule_city",
Brimson,,50,,2022,"city, village",
Bronaugh,,163,,2022,"city, city_fourth_class",
Brookfield,,"4,111",,2022,"city, city_third_class",
Brookline,,,,2011,city,
Brooklyn Heights,,101,,2022,"city, village",
Broseley,,163,,2022,"city, census_designated_place",
Browning,,219,,2022,"city, city_fourth_class",
Brownington,,71,,2022,"city, village",
Brumley,,69,,2022,"city, village",
Brunswick,,801,,2022,"city, city_fourth_class",
Buchanan,,"84,793",,2022,"county, county_first_class",
Bucklin,,413,,2022,"city, city_fourth_class",
Buckner,,"2,945",,2022,"city, city_fourth_class",
Buell,,25,,2022,"city, census_designated_place",
Buffalo,,"3,290",,2022,"city, county_seat, city_fourth_class",
Bull Creek,,426,,2022,"city, village",
Bunceton,,334,,2022,"city, city_fourth_class",
Bunker,,295,,2022,"city, city_fourth_class",
Burfordville,,87,,2022,"city, census_designated_place",
Burgess,,54,,2022,"city, census_designated_place",
Burlington Junction,,521,,2022,"city, city_fourth_class",
Butler,,"4,220",,2022,"city, county_seat, city_third_class",
Butler,,"42,130",,2022,"county, county_third_class_wo_township_form",
Butterfield,,378,,2022,"city, city_fourth_class",
Byrnes Mill,,"3,173",,2022,"city, city_fourth_class",
Cabool,,"1,946",,2022,"city, city_fourth_class",
Cainsville,,283,,2022,"city, city_fourth_class",
Cairo,,205,,2022,"city, village",
Caldwell,,"8,815",,2022,"county, county_third_class_w_township_form",
Caledonia,,131,,2022,"city, village",
Calhoun,,392,,2022,"city, city_fourth_class",
California,,"4,498",,2022,"city, county_seat, city_fourth_class",
Callao,,251,,2022,"city, city_fourth_class",
Callaway,,"44,283",,2022,"county, county_second_class",
