Name,County,Class,Population,
Adrian,Bates,4th,1730,
Advance,Stoddard,4th,1349,
Affton,St. Louis,CDP,20417,
Agency,Buchanan,Village,671,
Airport Drive,Jasper,Village,766,
Alba,Jasper,4th,544,
Albany,Gentry,4th,1679,
Aldrich,Polk,Village,76,
Alexandria,Clark,4th,105,
Allendale,Worth,3rd,48,
Allenville,Cape Girardeau,Village,95,
Alma,Lafayette,4th,400,
Altamont,Daviess,Village,171,
Altenburg,Perry,4th,341,
Alton,Oregon,4th,707,
Amazonia,Andrew,4th,238,
Amity,DeKalb,Village,26,
Amoret,Bates,4th,133,
Amsterdam,Bates,4th,218,
Anderson,McDonald,4th,1981,
Annada,Pike,Village,14,
Annapolis,Iron,4th,250,
Anniston,Mississippi,4th,180,
Appleton City,St. Clair,4th,1032,
Arbela,Scotland,Village,24,
Arbyrd,Dunklin,4th,404,
Arcadia,Iron,4th,618,
Archie,Cass,4th,1268,
Arcola,Dade,Village,37,
Argyle,"Maries, Osage",Village,144,
Arkoe,Nodaway,Village,56,
Armstrong,Howard,4th,243,
Arnold,Jefferson,3rd,20858,
Arrow Point,Barry,Village,75,
Arrow Rock,Saline,Village,60,
Asbury,Jasper,4th,193,
Ash Grove,Greene,4th,1512,
Ashburn,Pike,NA,33,
Ashland,Boone,4th,4747,
Ashley,Pike,CDP,94,
Atlanta,Macon,4th,379,
Augusta,St. Charles,Special Charter,270,
Aullville,Lafayette,Village,77,
Aurora,Lawrence,3rd,7219,
Aurora Springs,Miller,CDP,138,
Auxvasse,Callaway,4th,1001,
Ava,Douglas,4th,2894,
Avalon,Livingston,CDP,83,
Avilla,Jasper,Village,103,
Avondale,Clay,4th,436,
Bagnell,Miller,4th,43,
Baker,Stoddard,NA,3,
Bakersfield,Ozark,Village,186,
Baldwin Park,Cass,Village,85,
Ballwin,St. Louis,4th,31103,
Baring,Knox,4th,125,
Barnard,Nodaway,4th,201,
Barnett,Morgan,4th,158,
Barnhart,Jefferson,CDP,5832,
Bates City,Lafayette,4th,219,
Battlefield,Greene,4th,5990,
Bell City,Stoddard,4th,464,
Bella Villa,St. Louis,4th,757,
Belle,"Maries, Osage",4th,1381,
Bellefontaine Neighbors,St. Louis,4th,10740,
Bellflower,Montgomery,4th,325,
Bel-Nor,St. Louis,Village,1399,
Bel-Ridge,St. Louis,4th,2132,
Belton,Cass,Home Rule,23953,
Bennett Springs,"Dallas, Laclede",CDP,138,
Bent Tree Harbor,Benton,CDP,283,
Benton,Scott,4th,866,
Benton City,Audrain,Village,101,
Berger,Franklin,4th,256,
Berkeley,St. Louis,Home Rule,8228,
Bernie,Stoddard,4th,1859,
Bertrand,Mississippi,4th,718,
Bethany,Harrison,4th,2915,
Bethel,Shelby,Village,135,
Beverly Hills,St. Louis,4th,475,
Bevier,Macon,4th,636,
Biehle,Perry,CDP,47,
Big Lake,Holt,Village,65,
Big Spring,Montgomery,CDP,149,
Bigelow,Holt,Village,5,
Billings,Christian,4th,1084,
Birch Tree,Shannon,4th,541,
Birmingham,Clay,Village,189,
Bismarck,St. Francois,4th,1239,
Black Jack,St. Louis,3rd,6634,
Blackburn,"Lafayette, Saline",4th,224,
Blackwater,Cooper,4th,170,
Blairstown,Henry,4th,95,
Blanchard,Atchison,CDP,27,
Bland,Gasconade,4th,506,
Blodgett,Scott,4th,209,
Bloomfield,Stoddard,4th,1755,
Bloomsdale,Ste. Genevieve,4th,639,
Blue Eye,Stone,Village,289,
Blue Springs,Jackson,Home Rule,58603,
Blue Summit,Jackson,CDP,0,
Blythedale,Harrison,Village,211,
Bogard,Carroll,4th,167,
Bolckow,Andrew,4th,163,
Bolivar,Polk,4th,10679,
Bonne Terre,St. Francois,3rd,6903,
Boonville,Cooper,3rd,7964,
Bosworth,Carroll,4th,213,
Bourbon,Crawford,4th,1567,
Bowling Green,Pike,4th,4195,
Bragg City,Pemiscot,4th,72,
Brandsville,Howell,4th,127,
Branson,"Taney, Stone",4th,12638,
Branson West,Stone,4th,484,
Brashear,Adair,4th,235,
Braymer,Caldwell,4th,737,
Breckenridge,Caldwell,4th,258,
Breckenridge Hills,St. Louis,3rd,4458,
Brentwood,St. Louis,4th,8233,
Brewer,Perry,CDP,361,
Briarwood Estates,Jefferson,CDP,347,
Bridgeton,St. Louis,Home Rule,11445,
Brimson,Grundy,Village,50,
Bronaugh,Vernon,4th,163,
Brookfield,Linn,3rd,4111,
Brooklyn Heights,Jasper,Village,101,
Broseley,Butler,CDP,163,
Browning,"Linn, Sullivan",4th,219,
Brownington,Henry,Village,71,
Brumley,Miller,Village,69,
Brunswick,Chariton,4th,801,
Bucklin,Linn,4th,413,
Buckner,Jackson,4th,2945,
Buell,Montgomery,CDP,25,
Buffalo,Dallas,4th,3290,
Bull Creek,Taney,Village,426,
Bunceton,Cooper,4th,334,
Bunker,"Dent, Reynolds",4th,295,
Burfordville,Cape Girardeau,CDP,87,
Burgess,Barton,CDP,54,
Burlington Junction,Nodaway,4th,521,
Butler,Bates,3rd,4220,
Butterfield,Barry,4th,378,
Byrnes Mill,Jefferson,4th,3173,
Cabool,Texas,4th,1946,
Cainsville,Harrison,4th,283,
Cairo,Randolph,Village,205,
Caledonia,Washington,Village,131,
Calhoun,Henry,4th,392,
California,Moniteau,4th,4498,
Callao,Macon,4th,251,
Calverton Park,St. Louis,Village,1143,
Camden,Ray,4th,175,
Camden Point,Platte,4th,457,
